id,cases
1,27
2,27
3,27
4,44
5,44
6,59
7,59
8,59
9,59
10,59
11,59
12,59
13,59
14,60
15,61
16,62
17,62
18,67
19,84
20,220
21,240
22,393
23,535
24,632
25,898
26,1351
27,2024
28,2821
29,4588
30,6068
31,7825
32,9826
33,11947
34,14555
35,17373
36,20616
37,24525
38,28276
39,31494
40,34936
41,37554
42,40546
43,43109
44,45181
45,60332
46,64547
47,67107
48,69269
49,71336
50,73331
51,75195
52,75727
53,76723
54,77808
55,78818
56,79341
57,80136
58,81003
59,82117
60,83388
61,85248
62,87091
63,89159
64,91017
65,93332
66,95689
67,98749
68,102869
69,106849
70,111026
71,115846
72,120963
73,128885
74,138359
75,148823
76,161014
77,173503
78,187741
79,204835
80,225124
81,256328
82,288313
83,322547
84,356817
85,401377
86,443921
87,497746
88,558855
89,624047
90,686894
91,744262
92,808984
93,883829
94,961465
95,1039111
96,1121114
97,1206388
98,1272649
99,1345952
100,1423300
101,1508390
102,1595798
103,1685428
104,1760783
105,1829304
106,1894563
107,1971537
108,2050356
109,2134784
110,2217056
111,2296749
112,2367256
113,2441922
114,2529232
115,2595836
116,2674625
117,2747774
118,2847622
119,2929454
120,2996235
121,3069060
122,3148567
123,3234241
124,3322771
125,3403410
126,3480427
127,3558034
128,3637592
129,3725894
130,3818711
131,3908407
132,3996830
133,4071365
134,4142732
135,4229850
136,4317352
137,4414532
138,4512768
139,4605735
140,4684784
141,4772741
142,4869123
143,4974096
144,5082867
145,5189678
146,5288624
147,5380876
148,5471826
149,5566467
150,5670283
151,5789611
152,5912799
153,6040563
154,6146189
155,6248961
156,6362175
157,6488689
158,6616044
159,6749900
160,6875287
161,6988954
162,7097706
163,7224479
164,7360142
165,7496870
166,7641856
167,7774826
168,7894442
169,8016038
170,8159289
171,8337312
172,8476121
173,8657476
174,8816612
175,8942897
176,9079391
177,9243568
178,9419392
179,9598259
180,9787957
181,9969204
182,10128274
183,10290089
184,10483887
185,10686124
186,10895009
187,11100808
188,11288581
189,11465130
190,11642293
191,11850803
192,12066716
193,12291676
194,12523396
195,12739115
196,12933308
197,13125861
198,13350915
199,13585203
200,13841354
201,14090182
202,14317201
203,14530830
204,14735465
205,14977003
206,15260892
207,15536734
208,15821023
209,16078023
210,16307353
211,16522705
212,16767416
213,17067388
214,17357613
215,17634886
216,17896905
217,18117817
218,18325139
219,18581955
220,18859803
221,19145769
222,19421611
223,19687315
224,19914818
225,20136005
226,20397633
227,20687358
228,20972879
229,21262345
230,21518675
231,21748936
232,21948560
233,22206623
234,22487274
235,22761723
236,23016039
237,23279354
238,23503597
239,23716759
240,23973326
241,24251579
242,24535206
243,24812183
244,25078224
245,25321449
246,25566970
247,25835970
248,26120959
249,26401009
250,26695927
251,26969363
252,27215404
253,27424407
254,27670143
255,27959306
256,28264998
257,28569678
258,28853865
259,29123783
260,29369302
261,29672882
262,29962528
263,30280719
264,30592714
265,30886186
266,31170529
267,31439462
268,31722176
269,32033658
270,32354537
271,32666138
272,32965426
273,33245310
274,33483764
275,33777698
276,34093723
277,34416903
278,34735715
279,35037693
280,35318769
281,35589045
282,35915822
283,36269448
284,36632504
285,36981762
286,37331188
287,37635245
288,37920312
289,38251039
290,38639434
291,39042053
292,39439488
293,39809972
294,40171982
295,40520682
296,40915670
297,41367912
298,41840416
299,42329189
300,42788799
301,43227729
302,43643644
303,44123016
304,44636477
305,45184578
306,45726736
307,46184735
308,46671967
309,47142461
310,47647460
311,48217351
312,48829738
313,49435759
314,50029033
315,50557870
316,51060158
317,51627093
318,52250604
319,52898103
320,53533932
321,54128402
322,54642940
323,55187421
324,55770400
325,56396170
326,57037140
327,57716898
328,58288941
329,58807799
330,59341326
331,59903030
332,60552696
333,61102596
334,61718735
335,62271031
336,60923273
337,61441812
338,61963197
339,62487434
340,63014532
341,63544497
342,64077338
343,64613061
344,65151674
345,65693185
346,66237601
347,66784930
348,67335178
349,67888355
350,68444466
351,69003519
352,69565523
353,70130484
354,70698410
355,71269308
356,71843186
357,72420051
358,72999911
359,73582773
360,74168646
361,74757535
362,75349449
363,75944395
364,76542381
365,77143414
366,77747501
367,78354651
368,78964870
369,79578166
370,80194546
371,80814019
372,81436591
373,82062269
374,82691063
375,83322978
376,83958022
377,84596203
378,85237529
379,85882006
380,86529643
381,87180446
382,87834423
383,88491582
384,89151930
385,89815475
386,90482224
387,91152184
388,91825364
389,92501770
390,93181410
391,93864291
392,94550421
393,95239808
394,95932459
395,96628381
396,97327581
397,98030069
398,98735849
399,99444932
